Date,House_Price,Quarter,Rate
2003-03-31,192000.0,2003Q1,3.75
2003-09-30,208000.0,2003Q3,3.5
2003-12-31,216000.0,2003Q4,3.75
2004-03-31,209000.0,2004Q1,4.0
2004-06-30,225000.0,2004Q2,4.375
2004-09-30,213000.0,2004Q3,4.75
2005-09-30,223000.0,2005Q3,4.5
2006-09-30,211000.0,2006Q3,4.75
2006-12-31,223000.0,2006Q4,5.0
2007-03-31,216000.0,2007Q1,5.25
2007-06-30,214000.0,2007Q2,5.5
2007-09-30,226000.0,2007Q3,5.75
2007-12-31,219000.0,2007Q4,5.5
2008-03-31,210000.0,2008Q1,5.25
2008-06-30,225000.0,2008Q2,5.0
2008-12-31,186000.0,2008Q4,3.1666666666666665
2009-03-31,180000.0,2009Q1,1.0
2016-09-30,273000.0,2016Q3,0.25
2017-12-31,289000.0,2017Q4,0.5
2018-09-30,291000.0,2018Q3,0.75
2020-03-31,291000.0,2020Q1,0.175
2021-12-31,293000.0,2021Q4,0.25
2022-03-31,310000.0,2022Q1,0.625
2022-06-30,316000.0,2022Q2,1.125
2022-09-30,326000.0,2022Q3,2.0
2022-12-31,325000.0,2022Q4,3.25
2023-03-31,302000.0,2023Q1,4.125
2023-06-30,331000.0,2023Q2,4.75
2023-09-30,322000.0,2023Q3,5.25
2024-09-30,323000.0,2024Q3,5.0
2024-12-31,323000.0,2024Q4,4.75
2025-03-31,319000.0,2025Q1,4.5
2025-06-30,324000.0,2025Q2,4.25
2025-09-30,323000.0,2025Q3,4.0
2025-12-31,345000.0,2025Q4,3.75
1992-06-30,71000.0,1992Q2,9.88
1992-09-30,61000.0,1992Q3,8.88
1992-12-31,59000.0,1992Q4,7.38
1993-03-31,64000.0,1993Q1,5.88
1993-12-31,68000.0,1993Q4,5.38
1994-03-31,65000.0,1994Q1,5.13
1994-09-30,71000.0,1994Q3,5.63
1994-12-31,60000.0,1994Q4,6.13
1995-03-31,66000.0,1995Q1,6.63
1995-12-31,65000.0,1995Q4,6.38
1996-03-31,69000.0,1996Q1,6.035
1996-06-30,69000.0,1996Q2,5.69
1996-12-31,71000.0,1996Q4,5.94
1997-06-30,83000.0,1997Q2,6.375
1997-09-30,74000.0,1997Q3,6.875
1997-12-31,76000.0,1997Q4,7.25
1998-06-30,78000.0,1998Q2,7.5
1998-12-31,78000.0,1998Q4,6.75
1999-03-31,85000.0,1999Q1,5.75
1999-06-30,75000.0,1999Q2,5.125
1999-09-30,90000.0,1999Q3,5.25
1999-12-31,82000.0,1999Q4,5.5
2000-03-31,106000.0,2000Q1,5.875
2001-03-31,122000.0,2001Q1,5.75
2001-06-30,106000.0,2001Q2,5.375
2001-09-30,111000.0,2001Q3,4.875
2001-12-31,119000.0,2001Q4,4.25
2003-03-31,140000.0,2003Q1,3.75
2003-09-30,151000.0,2003Q3,3.5
2003-12-31,163000.0,2003Q4,3.75
2004-03-31,168000.0,2004Q1,4.0
2004-06-30,183000.0,2004Q2,4.375
2004-09-30,192000.0,2004Q3,4.75
2005-09-30,198000.0,2005Q3,4.5
2006-09-30,198000.0,2006Q3,4.75
2006-12-31,198000.0,2006Q4,5.0
2007-03-31,193000.0,2007Q1,5.25
2007-06-30,203000.0,2007Q2,5.5
2007-09-30,211000.0,2007Q3,5.75
2007-12-31,206000.0,2007Q4,5.5
2008-03-31,217000.0,2008Q1,5.25
2008-06-30,209000.0,2008Q2,5.0
2008-12-31,184000.0,2008Q4,3.1666666666666665
2009-03-31,161000.0,2009Q1,1.0
2016-09-30,218000.0,2016Q3,0.25
2017-12-31,227000.0,2017Q4,0.5
2018-09-30,237000.0,2018Q3,0.75
2020-03-31,248000.0,2020Q1,0.175
2021-12-31,283000.0,2021Q4,0.25
2022-03-31,296000.0,2022Q1,0.625
2022-06-30,303000.0,2022Q2,1.125
2022-09-30,303000.0,2022Q3,2.0
2022-12-31,297000.0,2022Q4,3.25
2023-03-31,292000.0,2023Q1,4.125
2023-06-30,315000.0,2023Q2,4.75
2023-09-30,291000.0,2023Q3,5.25
2024-09-30,295000.0,2024Q3,5.0
2024-12-31,296000.0,2024Q4,4.75
2025-03-31,300000.0,2025Q1,4.5
2025-06-30,318000.0,2025Q2,4.25
2025-09-30,315000.0,2025Q3,4.0
2025-12-31,321000.0,2025Q4,3.75
1992-06-30,69000.0,1992Q2,9.88
1992-09-30,72000.0,1992Q3,8.88
1992-12-31,77000.0,1992Q4,7.38
1993-03-31,67000.0,1993Q1,5.88
1993-12-31,69000.0,1993Q4,5.38
1994-03-31,68000.0,1994Q1,5.13
1994-09-30,77000.0,1994Q3,5.63
1994-12-31,64000.0,1994Q4,6.13
1995-03-31,66000.0,1995Q1,6.63
1995-12-31,78000.0,1995Q4,6.38
1996-03-31,70000.0,1996Q1,6.035
1996-06-30,68000.0,1996Q2,5.69
1996-12-31,74000.0,1996Q4,5.94
1997-06-30,75000.0,1997Q2,6.375
1997-09-30,77000.0,1997Q3,6.875
1997-12-31,79000.0,1997Q4,7.25
1998-06-30,75000.0,1998Q2,7.5
1998-12-31,95000.0,1998Q4,6.75
1999-03-31,86000.0,1999Q1,5.75
1999-06-30,92000.0,1999Q2,5.125
1999-09-30,91000.0,1999Q3,5.25
1999-12-31,90000.0,1999Q4,5.5
2000-03-31,90000.0,2000Q1,5.875
2001-03-31,106000.0,2001Q1,5.75
2001-06-30,96000.0,2001Q2,5.375
2001-09-30,100000.0,2001Q3,4.875
2001-12-31,95000.0,2001Q4,4.25
2003-03-31,120000.0,2003Q1,3.75
2003-09-30,143000.0,2003Q3,3.5
2003-12-31,145000.0,2003Q4,3.75
2004-03-31,147000.0,2004Q1,4.0
2004-06-30,152000.0,2004Q2,4.375
2004-09-30,168000.0,2004Q3,4.75
2005-09-30,179000.0,2005Q3,4.5
2006-09-30,189000.0,2006Q3,4.75
2006-12-31,197000.0,2006Q4,5.0
2007-03-31,200000.0,2007Q1,5.25
2007-06-30,208000.0,2007Q2,5.5
2007-09-30,206000.0,2007Q3,5.75
2007-12-31,219000.0,2007Q4,5.5
2008-03-31,218000.0,2008Q1,5.25
2008-06-30,225000.0,2008Q2,5.0
2008-12-31,218000.0,2008Q4,3.1666666666666665
2009-03-31,201000.0,2009Q1,1.0
2016-09-30,236000.0,2016Q3,0.25
2017-12-31,256000.0,2017Q4,0.5
2018-09-30,253000.0,2018Q3,0.75
2020-03-31,253000.0,2020Q1,0.175
2021-12-31,287000.0,2021Q4,0.25
2022-03-31,295000.0,2022Q1,0.625
2022-06-30,294000.0,2022Q2,1.125
2022-09-30,306000.0,2022Q3,2.0
2022-12-31,315000.0,2022Q4,3.25
2023-03-31,326000.0,2023Q1,4.125
2023-06-30,324000.0,2023Q2,4.75
2023-09-30,326000.0,2023Q3,5.25
2024-09-30,333000.0,2024Q3,5.0
2024-12-31,332000.0,2024Q4,4.75
2025-03-31,330000.0,2025Q1,4.5
2025-06-30,332000.0,2025Q2,4.25
2025-09-30,339000.0,2025Q3,4.0
2025-12-31,331000.0,2025Q4,3.75
1992-06-30,54000.0,1992Q2,9.88
1992-09-30,50000.0,1992Q3,8.88
1992-12-31,53000.0,1992Q4,7.38
1993-03-31,50000.0,1993Q1,5.88
1993-12-31,51000.0,1993Q4,5.38
1994-03-31,45000.0,1994Q1,5.13
1994-09-30,54000.0,1994Q3,5.63
1994-12-31,56000.0,1994Q4,6.13
1995-03-31,55000.0,1995Q1,6.63
1995-12-31,56000.0,1995Q4,6.38
1996-03-31,64000.0,1996Q1,6.035
1996-06-30,64000.0,1996Q2,5.69
1996-12-31,63000.0,1996Q4,5.94
1997-06-30,62000.0,1997Q2,6.375
1997-09-30,72000.0,1997Q3,6.875
1997-12-31,65000.0,1997Q4,7.25
1998-06-30,70000.0,1998Q2,7.5
1998-12-31,78000.0,1998Q4,6.75
1999-03-31,74000.0,1999Q1,5.75
1999-06-30,69000.0,1999Q2,5.125
1999-09-30,74000.0,1999Q3,5.25
1999-12-31,82000.0,1999Q4,5.5
2000-03-31,82000.0,2000Q1,5.875
2001-03-31,98000.0,2001Q1,5.75
2001-06-30,99000.0,2001Q2,5.375
2001-09-30,105000.0,2001Q3,4.875
2001-12-31,90000.0,2001Q4,4.25
2003-03-31,109000.0,2003Q1,3.75
2003-09-30,119000.0,2003Q3,3.5
2003-12-31,117000.0,2003Q4,3.75
2004-03-31,120000.0,2004Q1,4.0
2004-06-30,131000.0,2004Q2,4.375
2004-09-30,129000.0,2004Q3,4.75
2005-09-30,159000.0,2005Q3,4.5
2006-09-30,215000.0,2006Q3,4.75
2006-12-31,222000.0,2006Q4,5.0
2007-03-31,245000.0,2007Q1,5.25
2007-06-30,273000.0,2007Q2,5.5
2007-09-30,291000.0,2007Q3,5.75
2007-12-31,305000.0,2007Q4,5.5
2008-03-31,286000.0,2008Q1,5.25
2008-06-30,253000.0,2008Q2,5.0
2008-12-31,230000.0,2008Q4,3.1666666666666665
2009-03-31,227000.0,2009Q1,1.0
2016-09-30,164000.0,2016Q3,0.25
2017-12-31,177000.0,2017Q4,0.5
2018-09-30,189000.0,2018Q3,0.75
2020-03-31,194000.0,2020Q1,0.175
2021-12-31,197000.0,2021Q4,0.25
2022-03-31,215000.0,2022Q1,0.625
2022-06-30,226000.0,2022Q2,1.125
2022-09-30,239000.0,2022Q3,2.0
2022-12-31,235000.0,2022Q4,3.25
2023-03-31,238000.0,2023Q1,4.125
2023-06-30,245000.0,2023Q2,4.75
2023-09-30,252000.0,2023Q3,5.25
2024-09-30,271000.0,2024Q3,5.0
2024-12-31,268000.0,2024Q4,4.75
2025-03-31,280000.0,2025Q1,4.5
2025-06-30,271000.0,2025Q2,4.25
2025-09-30,271000.0,2025Q3,4.0
2025-12-31,277000.0,2025Q4,3.75
